date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
04/27/2023,"12:00 AMRAP","- RX -AMRAP 12:9 DB thrusters (20/35 lb) 5 Knees to elbow- Use two DBs.- INTERMEDIATE -AMRAP 12:9 DB thrusters (20/35 lb) 5 Knees to chest- BEGINNER -AMRAP 12:9 DB thrusters (10/15 lb) 5 high knees",12.006,"12+6","Rounds + Reps","","[{""rnds"":12,""reps"":6}]","20#",SCALED,
05/01/2023,"POWER CLEAN","Every :30 for 10 sets:2 power cleans- Must be touch-and-go reps.",115,"115","Load","Power Clean","[{""success"":true,""load"":115}]","",RX,PR
05/01/2023,"FOR TIME","- RX -For time:30 hang power cleans (65/95 lb)40 deadlifts 400/500-m row- INTERMEDIATE -For time:30 hang power cleans (55/75 lb)40 deadlifts 400/500-m row- BEGINNER -For time:30 hang power cleans (35/45 lb)40 deadlifts 250/300-m row",318,"5:18","","","[{""secs"":18,""mins"":5}]","",RX,
05/02/2023,"CINDY","- RX -AMRAP 20:5 pull-ups10 push-ups15 air squats- INTERMEDIATE - Same as Rxd- BEGINNER -Every 2:00 x 10 rounds:5 ring rows10 knee push-ups15 air squats",16,"16","Rounds + Reps","","[{""rnds"":16}]","",RX,
05/03/2023,"2 ROUNDS","2 sets:2:00 plank hold30 strict sit-ups",0,"done","Other / Text","","[{""other"":""done""}]","",RX,
05/03/2023,"EVERY 3:00 for 21:00","- RX -Every 3:00 x 7 sets:400-m run- Score is your slowest 400-m time.- INTERMEDIATE - Same as Rxd- BEGINNER -Every 3:00 x 7 sets:200-m run- Score is your slowest 200-m time.",86,"1:26","","","[{""secs"":26,""mins"":1}]","",RX,
05/05/2023,"Clean","4x2@ 82%",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
05/05/2023,"POWER SNATCHES","- RX -Power snatch 5-5-5-5-5-5-5- INTERMEDIATE - Same as Rxd- BEGINNER -Hang power snatch 5-5-5-5-5-5-5",105,"105","Load","Power Snatch","[{""success"":true,""load"":85},{""success"":true,""load"":85},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":105}]","",RX,PR
05/05/2023,"Tempo Back Squat","4x4 @72%3 Seconds down, no pause at the bottom, fast up",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
05/05/2023,"EVERY 2:00 FOR 6:00","5 hang muscle snatches- Build to a heavy set of 5 reps.",85,"85","Load","Muscle Snatch","[{""success"":true,""load"":85}]","",RX,
05/05/2023,"Snatch","4x2 @80%",100,"100","Load","","[{""success"":true,""load"":100},{""success"":true,""load"":100},{""success"":true,""load"":100},{""success"":true,""load"":100}]","",RX,
05/06/2023,"PARTNERED FOR TIME","- RX -For time with a partner: 1-2-3-4-5-6-7-8-9-10-10-9-8-7-6-5-4-3-2-1:Wall-ball shots (14/20 lb)(9/10 ft)Toes-to-bars- INTERMEDIATE - For time with a partner: 1-2-3-4-5-6-7-8-9-10-10-9-8-7-6-5-4-3-2-1:Wall-ball shots (14/20 lb)(9/10 ft)Knees-to-chests- BEGINNER -For time with a partner: 1-2-3-4-5-6-7-8-8-7-6-5-4-3-2-1:Wall-ball shots (8/12 lb)(9/10 ft)Hanging knee raises*Non-working partner hangs from the pull-up bar.",1005,"16:45","","","[{""secs"":45,""mins"":16}]","14#Hanging knee raises",SCALED,
05/08/2023,"ANGIE","- RX -For time:100 pull-ups100 push-ups100 sit-ups100 squats- INTERMEDIATE -For time:50 pull-ups60 push-ups70 sit-ups80 squats- BEGINNER -For time:40 jumping pull-ups50 hand-elevated push-ups60 sit-ups70 squats- Spend no more than 5:00 on each movement.",1700,"28:20","","","[{""secs"":20,""mins"":28}]","",RX,PR
05/10/2023,"FOR TIME","- RX -For time:10-8-6-4-2:Squat snatches (115/165 lb)- Perform 3 wall walks after each set.- INTERMEDIATE -For time:10-8-6-4-2:Squat snatches (75/115 lb)- Perform 3 wall walks after each set.- BEGINNER -For time:10-8-6-4-2:Hang squat snatches (35/45 lb)- Perform 2 partial range of motion wall walks after each set.",818,"13:38","","","[{""secs"":38,""mins"":13}]","95#",SCALED,
05/10/2023,"OVERHEAD SQUATS","Overhead Squats3-3-3-3- Build to your heaviest set.",115,"115","Load","Overhead Squat","[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":false,""load"":125}]","",RX,
05/12/2023,"GOOD MORNINGS","Accumulate:50 barbell or PVC good mornings",50,"50","Load","","[{""success"":true,""load"":50}]","",RX,
05/12/2023,"3 ROUNDS FOR TIME","- RX -3 rounds for time:50 up-downs1:00 seated L-sit hold- Accumulate a total of 1:00 in the L-sit per round.- INTERMEDIATE -3 rounds for time:40 up-downs1:00 seated L-sit hold (knees bent)- Accumulate a total of 1:00 in the L-sit per round.- BEGINNER -3 rounds for time:30 up-downs:30 seated L-sit hold (knees bent)- Accumulate a total of :30 in the L-sit per round.",810,"13:30","","","[{""secs"":30,""mins"":13}]","",SCALED,
05/15/2023,"4 ROUNDS FOR REPS","- RX -4 rounds for reps:1:00 calorie row1:00 Russian kettlebell swings (53/70 lb)1:00 burpees1:00 wall-ball shots (14/20 lb)(9/10 ft)1:00 rest- INTERMEDIATE -4 rounds for reps:1:00 calorie row1:00 Russian kettlebell swing (35/53 lb)1:00 burpees1:00 wall balls (14/20 lb)(9/10 ft)1:00 rest- BEGINNER -4 rounds for reps:1:00 calorie row1:00 Russian kettlebell swing (18/35 lb)1:00 burpees1:00 wall balls (10/14 lb)(9/10 ft)1:00 rest",250,"250","Reps","","[{""reps"":250}]","53#18#",SCALED,
05/17/2023,"7 SETS FOR LOAD","- RX -7 sets for load:1 power clean1 hang power clean1 jerk- INTERMEDIATE -Same as Rxd- BEGINNER -7 sets for load:3 power cleans3 hang power cleans3 jerks",175,"175","Load","","[{""success"":true,""load"":175}]","",RX,
05/29/2023,"MURPH","- RX -For time:1-mile run100 pull-ups200 push-ups300 air squats1-mile run- Partition the pull-ups, push-ups, and squats as needed. Start and finish with a 1-mile run. If you have a 20-lb vest or body armor, wear it.- INTERMEDIATE -For time:1-mile run 50 pull-ups100 push-ups150 air squats1-mile run- Partition the pull-ups, push-ups, and squats as needed. Head out for the second run no later than 25:00.- BEGINNER -For time:800m run -then-10 rounds:5 ring rows10 push-ups with hands elevated on a box15 air squats-then-800m run- Partition the pull-ups, push-ups, and squats as needed. Head out for the second run no later than 20:00.",2956,"49:16","","","[{""secs"":16,""mins"":49}]","",SCALED,
05/30/2023,"SHOULDER PRESS","10:00 to work to a heavy 2-rep-max shoulder press.",115,"115","Load","Shoulder Press","[{""success"":true,""load"":115}]","",RX,
05/30/2023,"10:00 EMOM","- RX -EMOM 10:7 DB shoulder presses (35/50 lb)AMRAP calorie row OR bike- Use two DBs.- INTERMEDIATE -EMOM 10:7 DB shoulder presses (20/35 lb)AMRAP calorie row OR bike- Use two DBs.- BEGINNER -EMOM 10:7 DB shoulder presses (10/25 lb)AMRAP calorie row OR bike- Use two DBs.",85,"85","Calories","","[{""calories"":85}]","25#",SCALED,
05/31/2023,"SKILL WORK","5x10 suitcase deadlifts",53,"53","Load","","[{""success"":true,""load"":53}]","",RX,
05/31/2023,"5 ROUNDS FOR TIME","- RX -5 rounds for time:40 double-unders30 box step-ups (20/24 in)20 KB swings (35/53 lb)- INTERMEDIATE -5 rounds for time::30 double-under attempts30 box step-ups (20/24 in)20 KB swings (26/35 lb)- BEGINNER -5 rounds for time::30 penguin hops20 box step-ups (20/24 in)10 Russian KB swings (26/35 lb)",1177,"19:37","","","[{""secs"":37,""mins"":19}]","",RX,
06/01/2023,"BACK SQUAT","- RX -5-5-3-3-1-1-1:Back squat- INTERMEDIATE -Same as Rxd- BEGINNER -7-7-5-5-3-3-3:Back squat",185,"185","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":175},{""success"":true,""load"":185},{""success"":false,""load"":205},{""success"":true,""load"":185}]","",RX,
06/02/2023,"HANG POWER SNATCH","Every 2:00 for 12:003 hang power snatches*ascending load",115,"115","Load","Hang Power Snatch","[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115}]","",RX,
06/02/2023,"21-15-9 FOR TIME","- RX -For time:21-15-9:Hang power snatches (65/95 lb)Toes-to-bars- INTERMEDIATE -For time:21-15-9:Hang power snatches (55/75 lb)Feet-above-shoulders- BEGINNER -For time:21-15-9:Hang power snatches (35/45 lb)Hanging knee raises",310,"5:10","","","[{""secs"":10,""mins"":5}]","65#Knees to chest",SCALED,
06/05/2023,"STRENGTH I","For load:7 sets:6 alternating back rack lunges- Increase loading across as many sets as possible.",105,"105","Load","","[{""success"":true,""load"":105}]","",RX,
06/06/2023,"Back Rack Lunges 7x6","Back Rack Lunges for load: #1:  6 reps #2:  6 reps #3:  6 reps #4:  6 reps #5:  6 reps #6:  6 reps #7:  6 reps",105,"105","Load","Back Rack Lunges","[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105}]","",RX,
06/06/2023,"DEADLIFTS","- RX -5 sets:3 deadlifts - Maintain same load across all sets. - Rest 2:00 between sets.- INTERMEDIATE -Same as RX’d- BEGINNER -5 sets:5 deadlifts - Maintain same load across all sets. - Rest 2:00 between sets.",255,"255","Load","Deadlift","[{""success"":true,""load"":255},{""success"":true,""load"":255},{""success"":true,""load"":255},{""success"":true,""load"":255},{""success"":true,""load"":255}]","",RX,
06/07/2023,"16:00 EMOM","- RX -EMOM 16:Even minutes: 3 rope climbsOdd minutes: 12 DB reverse lunges (35/50 lb)- Use 2 DBs for the lunges, held as desired.- INTERMEDIATE -EMOM 16:Even minutes: 1 rope climbOdd minutes: 12 DB reverse lunges (20/35 lb)- Use 2 DBs for the lunges, held as desired.- BEGINNER -EMOM 16:Even minutes: 3 pull-to-standsOdd minutes: 8 DB reverse lunges (10/15 lb or unweighted)- Use 2 DBs for the lunges, held as desired.",0,"🪦","Other / Text","","[{""other"":""🪦""}]","13 legless rope climbs35#",SCALED,
06/08/2023,"Front Squat 1x1","Front Squat for load: #1:  1 rep ",170,"170","Load","Front Squat","[{""success"":true,""load"":170}]","",RX,
06/08/2023,"Power Clean 1x1","Power Clean for load: #1:  1 rep ",170,"170","Load","Power Clean","[{""success"":true,""load"":170}]","",RX,
06/08/2023,"6 ROUNDS FOR TIME","- RX -6 rounds for time:9 hang squat cleans (105/155 lb)6 bar muscle-ups- INTERMEDIATE -6 rounds for time:9 hang squat cleans (75/115 lb)6 chest-to-bar pull-ups- BEGINNER -6 rounds for time:9 hang squat cleans (55/75 lb)12 jumping pull-ups",885,"14:45","","","[{""secs"":45,""mins"":14}]","105#Kipping pull-ups",SCALED,
06/08/2023,"POWER CLEAN + FRONT SQUAT","On a 10:00 clock:Build to a heavy power clean + front squat.",170,"170","Load","","[{""success"":true,""load"":170}]","",RX,
06/09/2023,"Snatch pull + High Hang Snatch + OHS","3x (1+1+1) @ 80 of Snatch",95,"95","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
06/09/2023,"Clean Pull to Toes + Hang Clean","4x ( 1+1) @ 82% of Clean",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
06/09/2023,"Front Squat","5x4 @ 80%",135,"135","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]","",RX,
06/10/2023,"TRIPLE BROAD JUMP","5 sets for distance:Triple broad jump- Rest as needed between attempts.",306,"25 6""","Feet","","[{""inches"":6,""feet"":25}]","",RX,
06/10/2023,"20:00 AMRAP","- RX -AMRAP 20 with a partner:100-ft sled drag12 alt. DB snatches (35/50 lb)100-ft sled drag- INTERMEDIATE -AMRAP 20:100-ft sled drag12 alt. DB snatches (20/35 lb)100-ft sled drag- BEGINNER -AMRAP 20:100-ft sled drag12 alt. DB snatches (15/20 lb)100-ft sled drag",7.012,"7+12","Rounds + Reps","","[{""rnds"":7,""reps"":12}]","115#40#",SCALED,
06/12/2023,"Strict Press","5x5- highest weight from last weight- across",105,"105","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":false,""load"":110}]","",RX,
06/12/2023,"Accessory:","Band Tricep Extensions + Deficit Push Ups4 Rounds- Super Set- 1 Min rest in between sets15 + 15",0,"0","Load","","[{""success"":true}]","Red bandPush ups from blue blocks ",SCALED,
06/12/2023,"5 ROUNDS FOR TIME","- RX -5 rounds for time:14 alternating DB single-leg squats (20/35 lb)7 push jerks (105/155 lb)- Use a single DB.- INTERMEDIATE -5 rounds for time:14 alternating single-leg squats (15/25 lb)7 push jerks (75/115 lb)- BEGINNER -5 rounds for time:14 alternating DB reverse lunges (10/15 lb)7 push jerks (35/45 lb)- Use a single DB.",518,"8:38","","","[{""secs"":38,""mins"":8}]","Reverse lunges 35#115#",SCALED,
06/12/2023,"Front Squat + Split Jerk","2 Front Squats + 1 Split Jerk @ 85%4x(2+1)",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","Dropped down to accommodate back",RX,
06/12/2023,"PUSH JERKS","Push Jerks2-2-2-2-2- Barbell comes from the floor.- Build to a heavy double.",155,"155","Load","Push Jerk","[{""success"":true,""load"":65},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":155}]","",RX,
06/12/2023,"Snatch w/ pause at receiving position","Snatch w/ pause at receiving position for 2 seconds4x2 @ 75%",95,"95","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
06/13/2023,"Back Squat 5x3","Back Squat for load: #1:  3 reps #2:  3 reps #3:  3 reps #4:  3 reps #5:  3 reps",155,"155","Load","Back Squat","[{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","Open gym",RX,
06/14/2023,"Back Squat 5x5","Back Squat for load: #1:  5 reps #2:  5 reps #3:  5 reps #4:  5 reps #5:  5 reps",155,"155","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
06/14/2023,"WEIGHTED PULL-UP","On a 3:00 clock:Find a 1-rep-max weighted pull-up.",30,"30","Load","","[{""success"":true,""load"":30}]","",RX,PR
06/14/2023,"NICOLE","- RX -AMRAP 20:400-m runMax pull-ups in a single set- INTERMEDIATE -AMRAP 20:400-m run5-10 pull-ups- BEGINNER -AMRAP 8:200-m run8 ring rowsRest 4:00AMRAP 8:200-m run8 ring rows",54,"54","Reps","","[{""reps"":54}]","Strict pull-ups",RX,
06/16/2023,"Snatch 1x2","Snatch for load: #1:  2 reps",125,"125","Load","Snatch","[{""success"":true,""load"":125}]","",RX,
06/16/2023,"Clean Pull to Toes + Hang Clean","4x ( 1+1) @ 85% of Clean",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
06/16/2023,"Snatch pull + High Hang Snatch + OHS","3x (1+1+1) @ 83% of Snatch",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
06/16/2023,"Front Squat","5x3 @ 85%",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
06/16/2023,"Skill Work","Post-workout:3 sets::30 hollow rocks10 strict toes-to-bars",0,"","Other / Text","","[{}]","",RX,
06/16/2023,"SNATCHES","- RX -For load:10-8-6-4-2:Snatches- Sets must be unbroken. Athletes may power snatch or squat snatch.- INTERMEDIATE -Same as RX’d- BEGINNER -Same as RX’d",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
06/19/2023,"RANDY","- RX -For time:75 power snatches (55/75 lb)- INTERMEDIATE -For time:75 power snatches (45/55 lb)- BEGINNER -For time:50 power snatches (35/45 lb)",520,"8:40","","","[{""secs"":40,""mins"":8}]","",RX,PR
06/20/2023,"FOR TIME","- RX -For time:21-15-9:Deadlifts (155/225 lb)Lateral burpees over the barbell- INTERMEDIATE -For time:21-15-9:Deadlifts (125/185 lb)Lateral burpees over the barbell- BEGINNER -For time:21-15-9:Deadlifts (95/135 lb)Lateral burpees over the barbell",388,"6:28","","","[{""secs"":28,""mins"":6}]","Intermediate (185#)",SCALED,
06/20/2023,"EVERY 2:00 FOR 6:00","Every 2:00 x 3 sets:1-10 unbroken strict chin-ups",30,"30","Reps","","[{""reps"":30}]","+7 pull-ups in the beginning",RX,
06/21/2023,"Back Squat 6x2","Back Squat for load: #1:  2 reps #2:  2 reps #3:  2 reps #4:  2 reps #5:  2 reps #6:  2 reps",205,"205","Load","Back Squat","[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
06/21/2023,"Deadlift 1x3","Deadlift for load: #1:  3 reps",275,"275","Load","Deadlift","[{""success"":true,""load"":275}]","",RX,
06/21/2023,"MAX EFFORT","Max-effort hanging L-sit hold- All athletes start together.",16,"0:16","","","[{""secs"":16,""mins"":0}]","",SCALED,
06/21/2023,"4 Pause Snatch Pulls","4x3 @ 90% of SnatchPause at each of the positions- 1 "" off the ground- Just Below the Knees- Just above the Knees- Power Position",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
06/21/2023,"Back Squat","6x2 @ 87%",205,"205","Load","","[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
06/21/2023,"Deadlift","3x4 for heaviest triple of last week",275,"275","Load","","[{""success"":true,""load"":225},{""success"":true,""load"":255},{""success"":true,""load"":275}]","",RX,
06/21/2023,"BENCH PRESS","- RX -For load:10-10-10-10-10:Bench press- INTERMEDIATE -Same as Rxd- BEGINNER -Same as Rxd",140,"140","Load","Bench Press","[{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":140},{""success"":false,""load"":145}]","",RX,
06/22/2023,"EVERY 5:00 FOR 15:00","- RX -Every 5:00 x 3 sets for reps:800-m runMax reps DB box step-ups (20/24 in) (35/50 lb)- Use one DB.- INTERMEDIATE -Every 5:00 x 3 sets for reps:400-m runMax reps DB box step-ups (20/24 in) (25/35 lb)- Use one DB.- BEGINNER -Every 5:00 x 3 sets for reps:400-m runMax reps box step-ups (20 in)",38,"38","Reps","","[{""reps"":38}]","20”35#",SCALED,
06/22/2023,"3 SETS","3 sets:15 V-ups:15 hollow hold20 alternating plank shoulder taps",0,"🫥","Other / Text","","[{""other"":""🫥""}]","",RX,
06/23/2023,"Snatch pull + High Hang Snatch + OHS","3x (1+1+1) @ 86% of Snatch",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","With a bunch of misses in between",RX,
06/23/2023,"Front Squat","5x2 @ 89%",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","Easy",RX,
06/23/2023,"Clean Pull to Toes + Hang Clean","3x ( 1+1) @ 89% of Clean",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
06/24/2023,"8 ROUNDS FOR TIME","- RX - 8 Rounds10 KB sumo deadlift high pulls (35/53 lb)8 box jumps (20/24 in)6 sit-ups- One partner completes a whole round at a time, then switch.  - Sprint!- INTERMEDIATE -KB sumo deadlift high pulls (26/35 lb)box jumps (20/24 in)sit-ups- BEGINNER -KB sumo deadlift high pulls (18/26 lb)box jumps (16/20 in)sit-ups",456,"7:36","","","[{""secs"":36,""mins"":7}]","35#24”",SCALED,
06/26/2023,"SNATCH COMPLEX","12:00 to build up to a heavy complex:3 muscle snatches +  2 power snatches + overhead squat",95,"95","Load","","[{""success"":true,""load"":95}]","",RX,
06/26/2023,"NANCY","- RX -5 rounds for time:400-m run15 overhead squats (65/95 lb)- INTERMEDIATE -5 rounds for time:400-m run15 overhead squats (45/65 lb)- BEGINNER -3 rounds for time:400-m run15 overhead squats (PVC or empty barbell)",866,"14:26","","","[{""secs"":26,""mins"":14}]","65#",SCALED,
06/28/2023,"Back Squat 6x1","Back Squat for load: #1:  1 rep  #2:  1 rep  #3:  1 rep  #4:  1 rep  #5:  1 rep  #6:  1 rep ",225,"225","Load","Back Squat","[{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225}]","",RX,
06/28/2023,"Deadlift","4x4 for heaviest triple of last week",275,"275","Load","","[{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275}]","",RX,
06/28/2023,"12:00 AMRAP","- RX -AMRAP 12:10 DB snatches (35/50 lb)10 burpee box jump-overs (20/24 in)- INTERMEDIATE -AMRAP 12:10 DB snatches (25/35 lb)8 burpee box jump-overs (20/24 in)- BEGINNER -AMRAP 12:10 DB snatches (15/25 lb)6 burpee box step-overs (12 in)",6,"6","Rounds + Reps","","[{""rnds"":6}]","40#",SCALED,
06/28/2023,"4 Pause Snatch Pulls","4x3 @ 95% of SnatchPause at each of the positions- 1 "" off the ground- Just Below the Knees- Just above the Knees- Power Position",125,"125","Load","","[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","",RX,
06/28/2023,"Back Squat","6x1 @ 91%",225,"225","Load","","[{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225}]","",RX,
06/29/2023,"3 x 3:00 AMRAP","- RX -3 x AMRAP 3:20 wall-ball shots (14/20 lb) (9/10 ft)15 toes-to-bars- Rest 2:00 between AMRAPs.- INTERMEDIATE -3 x AMRAP 3:15 wall-ball shots (14/20 lb) (9/10 ft)10 toes-to-bars- Rest 2:00 between AMRAPs.- BEGINNER -3 x AMRAP 3:10 wall-ball shots (10/14 lb) (8/9 ft)10 hanging knee raises- Rest 2:00 between AMRAPs.",3.028,"3+28","Rounds + Reps","","[{""rnds"":3,""reps"":28}]","14#",SCALED,
06/30/2023,"Snatch pull + High Hang Snatch + OHS","3x (1+1+1) @ 89% of Snatch",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","With a slew of misses",RX,
06/30/2023,"Front Squat","4x1 @ 92%",175,"175","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175}]","",RX,
06/30/2023,"Clean Pull to Toes + Hang Clean","2x ( 1+1) @ 92% of Clean",160,"160","Load","","[{""success"":true,""load"":160},{""success"":true,""load"":160}]","+ 1 x 165#",RX,
07/03/2023,"TABATA DOUBLE UNDERS","8 rounds for reps::20 double-unders:10 rest",161,"161","Reps","","[{""reps"":161}]","",RX,
07/03/2023,"EVERY 2:00 FOR 20:00","- RX -Every 2:00 for 20:00:1 power snatch1 hang squat snatch1 high hang squat snatch- INTERMEDIATE -Same as RX’d.- BEGINNER -Every 2:00 for 20:00:3 power snatches3 hang power snatches3 overhead squats",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
07/04/2023,"LOREDO","- RX -6 rounds for time:24 squats24 push-ups24 walking lunge steps400-m run- INTERMEDIATE -6 rounds for time:18 squats18 push-ups18 walking lunge steps400-m run- BEGINNER -4 rounds for time:14 squats14 push-ups from the knees14 walking lunge steps400-m run",1645,"27:25","","","[{""secs"":25,""mins"":27}]","",RX,
07/05/2023,"Deadlift 3x5","Deadlift for load: #1:  5 reps #2:  5 reps #3:  5 reps",275,"275","Load","Deadlift","[{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275}]","",RX,
07/05/2023,"SHOULDER PRESS","- RX -5 sets:3 shoulder presses- Build to a heavy set of 3 and maintain for all 5 sets.- INTERMEDIATE -Same as RX’d.- BEGINNER -5 sets:5 shoulder presses- Build to a moderate set of 5 and maintain for all 5 sets.",105,"105","Load","Shoulder Press","[{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105}]","",RX,
07/05/2023,"Back Squat 1x1","Back Squat for load: #1: 1 rep",230,"230","Load","Back Squat","[{""success"":true,""load"":230}]","",RX,PR
07/05/2023,"Deadlift","4x4 for heaviest triple of last week",275,"275","Load","","[{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275}]","",RX,
07/07/2023,"Front Squat 1x1","Front Squat for load: #1:  1 rep ",205,"205","Load","Front Squat","[{""success"":true,""load"":205}]","",RX,PR
07/07/2023,"12:00 AMRAP","- RX -AMRAP 12:12 deadlifts (105/155 lb)12 bar-facing burpees- INTERMEDIATE -AMRAP 12:12 deadlifts (85/115 lb)10 bar-facing burpees- BEGINNER -AMRAP 12:12 deadlifts (65/95 lb)8 burpees",6.002,"6+2","Rounds + Reps","","[{""rnds"":6,""reps"":2}]","",RX,
07/07/2023,"Clean Pull to Toes + Hang Clean","2x ( 1+1) @ 92% of Clean",155,"155","Load","","[{""success"":true,""load"":155}]","",RX,
07/07/2023,"Front Squat","4x1 @ 92%",205,"205","Load","","[{""success"":true,""load"":0},{""success"":true},{""success"":true},{""success"":true,""load"":205}]","",RX,
07/07/2023,"Snatch pull + High Hang Snatch + OHS","3x (1+1+1) @ 89% of Snatch",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
07/10/2023,"Clean + Front Squat + Jerk","3x(1+3-1) @ 70% of Clean and Jerk",125,"125","Load","","[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","",RX,
07/10/2023,"Back Squat 5x6","5x6 @ 72%",165,"165","Load","Back Squat","[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165}]","",RX,
07/10/2023,"Snatch 5x3","5x3 @70%",95,"95","Load","Snatch","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
